"","FLAG","Avg.min.between.sent.tnx","Avg.min.between.received.tnx","Time.Diff.between.first.and.last..Mins.","Sent.tnx","Received.Tnx","Number.of.Created.Contracts","Unique.Received.From.Addresses","Unique.Sent.To.Addresses","min.value.received","max.value.received","avg.val.received","min.val.sent","max.val.sent","avg.val.sent","max.val.sent.to.contract","total.Ether.sent","total.ether.received","Total.ERC20.tnxs","ERC20.total.Ether.received","ERC20.total.ether.sent","ERC20.total.Ether.sent.contract","ERC20.uniq.sent.addr","ERC20.uniq.rec.addr","ERC20.uniq.sent.addr.1","ERC20.uniq.rec.contract.addr","ERC20.min.val.rec","ERC20.max.val.rec","ERC20.avg.val.rec","ERC20.min.val.sent","ERC20.max.val.sent","ERC20.avg.val.sent","ERC20.uniq.sent.token.name","ERC20.uniq.rec.token.name"
"1",0,844.26,1093.71,704785.63,721,89,0,40,118,0,45.806785,6.589513,0,31.22,1.200681,0,865.6910932,586.4666748,265,35588543.78,35603169.52,0,30,54,0,58,0,1.5e+07,265586.1476,0,16830998.35,271779.92,39,57
"2",0,12709.07,2958.44,1218216.73,94,8,0,5,14,0,2.613269,0.385685,0,1.8,0.032844,0,3.08729702,3.085478209,8,403.4283054,2.260809454,0,1,5,0,7,0,365,57.632615,2.260809,2.260809,2.260809,1,7
"3",0,246194.54,2434.02,516729.3,2,10,0,10,2,0.113119,1.165453,0.358906,0.05,3.538616,1.794308,0,3.58861565,3.58905665,8,521.5120705,0,0,0,7,0,8,0,442.81984,65.189009,0,0,0,0,8
"4",0,10219.6,15785.09,397555.9,25,9,0,7,13,0,500,99.48884,0,450,70.001834,0,1750.045862,895.399559,14,17111.05191,11412.23068,0,2,11,0,11,0,11412.23068,1555.550174,100,9029.23068,3804.076893,1,11
"5",0,36.61,10707.77,382472.42,4598,20,1,7,19,0,12.802411,2.671095,0,9,0.022688,0,104.3188828,53.4218965,42,162829.6609,123539.9329,0,4,23,0,27,0,90000,4934.232147,0,45000,13726.65922,6,27
"6",0,9900.12,375.48,20926.68,2,3,0,2,1,0.724148,4.813776,3.234908,4.1668,5.536916,4.851858,0,9.70371586,9.70472386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,69.46,629.44,8660.35,25,11,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,0,12.0623941,12.079266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,1497.39,176.84,319828.05,213,5,0,3,3,0.11849,2,0.891098,0,0.7,0.040861,0,8.703392156,4.45548974,7,397.951964,0,0,0,5,0,7,0,365,56.850281,0,0,0,0,7
"9",0,0,0,496.62,1,1,0,1,1,2,2,2,1.99938,1.99938,1.99938,0,1.99938,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40,16.7,0.1,40,18.634625,0,149.077,50.1,1,600,0,0,0,1,0,1,600,600,600,0,0,0,0,1
"11",0,32.45,12921.57,129540.15,10,10,0,2,1,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,0,10.04055439,10.04819041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,3716.41,1448.09,385961.98,8,246,0,4,3,0.118061,81.386,3.381313,0.01,300,103.974875,0,831.799,831.8030477,8,6193.025913,0,0,0,7,0,8,0,4035.631891,774.128239,0,0,0,0,8
"13",0,0,12431.27,198900.25,0,16,1,4,0,0,1.002069,0.769166,0,0,0,0,0,12.30665958,2,0.181283664,0,0,0,2,0,2,0.075367,0.105917,0.090642,0,0,0,0,2
"14",0,9520.7,5776.32,78197.58,7,2,0,2,4,0.095,0.265159,0.180079,0,0.133441,0.037563,0,0.262941117,0.36015854,3,8.001,0,0,0,2,0,2,0.001,5,2.667,0,0,0,0,2
"15",0,14106.66,3742.82,540061.9,32,24,0,11,21,0,1499.99958,77.125266,0,1100,102.312148,0,3273.988723,1851.006376,33,139827.7923,133086.5,0,4,23,0,26,0,118324.5,4993.849726,1e-06,118324.5,26617.3,4,26
"16",0,757.91,11.08,25802.32,34,3,1,3,13,0.091844,1,0.530615,0,0.933444,0.044268,0,1.505102958,1.591844363,4,0,5e-06,0,3,0,0,0,0,0,0,0,5e-06,1e-06,1,0
"17",0,3.13,4923.24,280803.43,57,57,0,2,2,0.016037,0.277689,0.204013,0.015617,0.277269,0.203593,0,11.6048114,11.6287514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,27681.45,11171.03,842599.05,26,11,0,6,15,0.09,34.94,16.564688,0,34.9,9.896423,0,257.307,182.2115661,13,308440.3104,307097.3104,0,4,8,0,7,0,274230,34271.1456,1620,274231,76774.3276,3,7
"19",0,770.29,3.82,2318.5,3,2,0,1,3,7.772,19.995,13.8835,3.7,20.082772,9.255226,0,27.765677,27.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,163.78,1.11,329.78,2,2,0,2,2,44.048882,56.951118,50.5,0.61,100.388974,50.499487,0,100.9989738,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,6324.45,113840.02,0,18,1,5,0,0,12.782766,5.662421,0,0,0,0,0,101.9235724,2,4.983578382,0,0,0,2,0,2,2,2.983578,2.491789,0,0,0,0,2
"22",0,725.77,41108.66,292841.02,7,7,0,4,3,0,17.949074,8.407243,2,30.950276,22.441764,0,157.0923505,58.85070376,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"23",0,91.14,64.3,712.88,5,4,0,4,5,0.5,5,2.1875,0.377203,2.851287,1.749551,0,8.747754943,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,2477.34,6928.28,892782.2,8,126,0,1,2,0.013556,0.501254,0.342666,0.1,2,1.2625,0,10.1,43.17587621,16,2765.749578,100,0,1,9,0,15,0,1500,184.383305,100,100,100,1,15
"25",0,0,13339.9,226778.27,0,17,1,6,0,0,11.291416,4.860215,0,0,0,0,0,82.62366163,3,4.804121022,0,0,0,3,0,3,0.920501,2,1.601374,0,0,0,0,3
"26",0,0,0,30.65,1,1,0,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,0,4.99774,4.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,1797.42,60933.08,330187.83,82,3,0,3,7,0,30,11.666667,0,30,0.760256,0,62.341,35,11,1473.843474,0,0,0,8,0,11,0,600,133.98577,0,0,0,0,11
"28",0,0,0,68.87,1,1,0,1,1,0.547649,0.547649,0.547649,0.546389,0.546389,0.546389,0,0.54638892,0.54764892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,155.22,112602.93,338429.65,4,3,0,3,3,0,2.337156,1.512385,2,2.379635,2.104909,0,8.419634776,4.5371564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,14626.26,6594.93,955278,59,14,0,7,34,0.00979,1100,167.979641,0,500,43.052269,0,2540.083853,2351.714972,48,1555219.09,1545239.028,0,12,26,0,23,0,322932.1604,47127.8512,0,1230000,103015.9352,11,23
"31",0,0,5498.63,291427.53,0,53,1,4,0,0,1.002204,0.504895,0,0,0,0,0,26.75944516,2,0.55819781,0,0,0,2,0,2,0.10587,0.452328,0.279099,0,0,0,0,2
"32",0,3.33,51068.75,561789.58,10,11,0,8,1,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,0,56.21491815,56.22253457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,1128.56,0,2257.12,2,1,0,1,2,1.747981,1.747981,1.747981,0,0,0,0,0,1.74798122,10,327.9083121,0,0,0,8,0,9,0,290.214723,32.790831,0,0,0,0,9
"34",0,2152.95,680.22,22889.93,10,2,0,1,6,0.05,0.1,0.075,0,0.060734,0.011073,0,0.110734264,0.15,2,1e-12,1e-11,0,1,1,0,1,0,0,0,0,0,0,1,1
"35",0,0,648.26,449889.15,0,694,1,4,0,0,22,1.618731,0,0,0,0,0,1123.399095,2,0.532864637,0,0,0,2,0,2,0.082576,0.450289,0.266432,0,0,0,0,2
"36",0,45.91,58.88,450106.65,5970,2989,0,1337,2212,0,3140.99958,74.622817,0,3900,37.845721,0,225938.9558,223047.6014,325,139793.7886,137260.2674,0,21,295,0,15,0,72838.70935,470.686157,0,93524.52194,4902.152406,6,15
"37",0,0,0,4.87,1,1,0,1,1,0.003,0.003,0.003,0,0,0,0,0,0.003,2,3.75e-12,5e-15,0,1,1,0,1,0,0,0,0,0,0,1,1
"38",0,1067.84,128.81,636162.82,68,4375,0,1,4,0.443993,3.602495,1.055731,0,520.812168,67.923395,0,4618.790832,4618.823828,10,1444.347483,4.431401966,0,2,8,0,8,0,768.42897,180.543435,2.2155,2.215902,2.215701,1,8
"39",0,1051.87,85496.6,345142.02,3,4,0,2,3,0,3.508474,1.395953,0.007,5.544,3.683667,0,11.051,5.5838107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,2.12,0.92,21206.93,9996,4,3,3,2,1,20,11,0,0,0,0,0,44,35,3106124509,100,0,1,25,0,31,0,1553054037,91356603.2,100,100,100,1,29
"41",0,17441.04,1245.91,160707.1,9,3,0,2,4,1,49.995,18.996667,0,20,6.226376,0,56.03738689,56.99,13,122017.8964,120100,0,1,6,0,9,0,60716,12201.78964,100,1e+05,40033.33333,1,9
"42",0,45561.42,26284.49,802574.4,13,8,0,7,5,0,45.4,21.925,0,99,20.327692,0,264.26,175.4,15,21167.384,636100,0,4,6,0,6,1,20180.614,2645.923,2500,3e+05,90871.42857,2,6
"43",0,379.78,56424.63,339687.12,3,6,0,6,1,0,1.515068,0.888941,4.5,4.5,4.5,0,13.5,5.333649,13,53070.89588,0,0,0,10,0,13,0,52417,4082.376606,0,0,0,0,13
"44",0,1478.05,51541.26,355017.02,33,6,0,3,11,0,51,9.803306,0,20,2.307983,0,76.16345259,58.81983438,7,25000,27500,0,3,1,0,2,1e-06,25000,12500,0,15000,5500,4,2
"45",0,164.22,0,328.45,2,1,0,1,2,101,101,101,1.335323,99.663651,50.499487,0,100.9989738,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,1790.44,450.56,13445.97,6,6,0,5,2,0.2,10,2.615514,0.199528,9.999545,2.614933,0,15.68959511,15.69308421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,803.95,112925.21,340383.53,2,3,0,2,2,0,6.995,2.333333,6.955496,6.956,6.955748,0,13.911496,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,18649.44,15420.31,266825.07,11,4,0,3,6,0.195,4,1.67375,0,1.9,0.759219,0,8.351405033,6.695,4,148.7699492,0,0,0,4,0,4,0,136.515289,37.192487,0,0,0,0,4
"49",0,65.85,32.24,204236.48,2217,1807,0,1471,1205,0,799.99874,18.736369,0,1100,15.276167,0,33867.26324,33856.6182,5,4195.406065,4193.352,0,1,3,0,3,1,2096.676,1048.851516,4193.352,4193.352,4193.352,1,3
